# time(s) mx my mz trailx traily trailz
1.700 -65.800 14.948 -4.998 -70.607 13.572 -5.064
1.717 -65.358 15.074 -4.992 -70.166 13.705 -5.071
1.734 -64.916 15.201 -4.985 -69.726 13.838 -5.078
1.751 -64.474 15.327 -4.979 -69.285 13.970 -5.085
1.768 -64.032 15.454 -4.973 -68.845 14.103 -5.092
1.785 -63.590 15.580 -4.967 -68.404 14.235 -5.099
1.802 -63.148 15.706 -4.959 -67.963 14.368 -5.105
1.819 -62.706 15.829 -4.946 -67.523 14.498 -5.105
1.836 -62.264 15.952 -4.932 -67.082 14.628 -5.105
1.853 -61.822 16.075 -4.918 -66.642 14.758 -5.105
1.870 -61.380 16.198 -4.904 -66.201 14.888 -5.104
1.887 -60.938 16.321 -4.891 -65.760 15.017 -5.104
1.904 -60.496 16.443 -4.875 -65.320 15.147 -5.102
1.921 -60.054 16.562 -4.854 -64.879 15.273 -5.093
1.938 -59.612 16.681 -4.833 -64.438 15.399 -5.085
1.955 -59.170 16.799 -4.811 -63.998 15.525 -5.076
1.972 -58.728 16.918 -4.790 -63.557 15.651 -5.068
1.989 -58.286 17.037 -4.769 -63.116 15.778 -5.059
2.006 -57.844 17.154 -4.745 -62.675 15.902 -5.048
2.023 -57.402 17.269 -4.717 -62.234 16.024 -5.033
2.040 -56.960 17.384 -4.689 -61.793 16.146 -5.017
2.057 -56.518 17.498 -4.660 -61.352 16.267 -5.002
2.074 -56.076 17.613 -4.632 -60.911 16.389 -4.986
2.091 -55.634 17.727 -4.604 -60.470 16.511 -4.971
2.108 -55.192 17.840 -4.572 -60.029 16.631 -4.952
2.125 -54.750 17.950 -4.537 -59.588 16.750 -4.929
2.142 -54.308 18.061 -4.502 -59.147 16.868 -4.907
2.159 -53.866 18.171 -4.467 -58.706 16.987 -4.884
2.176 -53.424 18.282 -4.432 -58.265 17.105 -4.861
2.193 -52.982 18.392 -4.396 -57.823 17.224 -4.839
2.210 -52.540 18.500 -4.357 -57.382 17.340 -4.811
2.227 -52.098 18.606 -4.315 -56.941 17.454 -4.780
2.244 -51.656 18.712 -4.273 -56.500 17.568 -4.749
2.261 -51.214 18.818 -4.231 -56.059 17.682 -4.718
2.278 -50.772 18.924 -4.189 -55.618 17.796 -4.687
2.295 -50.330 19.030 -4.147 -55.176 17.910 -4.656
2.312 -49.888 19.133 -4.101 -54.735 18.021 -4.621
2.329 -49.446 19.234 -4.053 -54.294 18.131 -4.585
2.346 -49.004 19.335 -4.005 -53.853 18.241 -4.548
2.363 -48.562 19.436 -3.957 -53.411 18.351 -4.511
2.380 -48.120 19.538 -3.909 -52.970 18.461 -4.474
2.397 -47.678 19.639 -3.861 -52.528 18.570 -4.437
2.414 -47.236 19.737 -3.809 -52.087 18.676 -4.395
2.431 -46.794 19.833 -3.755 -51.646 18.782 -4.351
2.448 -46.352 19.930 -3.701 -51.204 18.887 -4.307
2.465 -45.910 20.026 -3.647 -50.763 18.992 -4.264
2.482 -45.468 20.123 -3.593 -50.321 19.097 -4.220
2.499 -45.026 20.219 -3.539 -49.880 19.202 -4.176
2.516 -44.584 20.311 -3.480 -49.439 19.303 -4.127
2.533 -44.142 20.403 -3.421 -48.997 19.404 -4.076
2.550 -43.700 20.495 -3.362 -48.556 19.505 -4.026
2.567 -43.258 20.587 -3.302 -48.115 19.606 -3.976
2.584 -42.816 20.679 -3.243 -47.673 19.707 -3.925
2.601 -42.374 20.770 -3.183 -47.232 19.808 -3.875
2.618 -41.932 20.857 -3.119 -46.790 19.904 -3.819
2.635 -41.490 20.943 -3.055 -46.349 20.000 -3.762
2.652 -41.048 21.030 -2.991 -45.908 20.096 -3.706
2.669 -40.606 21.117 -2.927 -45.466 20.192 -3.650
2.686 -40.164 21.204 -2.863 -45.025 20.288 -3.594
2.703 -39.722 21.289 -2.798 -44.584 20.383 -3.537
2.720 -39.280 21.371 -2.730 -44.142 20.475 -3.476
2.737 -38.838 21.453 -2.662 -43.701 20.567 -3.415
2.754 -38.396 21.534 -2.593 -43.260 20.658 -3.354
2.771 -37.954 21.616 -2.525 -42.818 20.750 -3.293
2.788 -37.512 21.697 -2.457 -42.377 20.841 -3.232
2.805 -37.070 21.777 -2.388 -41.936 20.931 -3.170
2.822 -36.628 21.854 -2.316 -41.494 21.017 -3.104
2.839 -36.186 21.930 -2.244 -41.053 21.102 -3.038
2.856 -35.744 22.006 -2.172 -40.611 21.188 -2.972
2.873 -35.302 22.082 -2.100 -40.170 21.273 -2.906
2.890 -34.860 22.158 -2.028 -39.729 21.359 -2.840
2.907 -34.418 22.232 -1.955 -39.287 21.443 -2.772
2.924 -33.976 22.303 -1.880 -38.846 21.524 -2.702
2.941 -33.534 22.374 -1.805 -38.405 21.606 -2.631
2.958 -33.092 22.445 -1.730 -37.964 21.687 -2.561
2.975 -32.650 22.516 -1.655 -37.523 21.769 -2.491
2.992 -32.208 22.588 -1.580 -37.082 21.850 -2.420
3.009 -31.766 22.656 -1.504 -36.641 21.929 -2.348
3.026 -31.324 22.721 -1.427 -36.199 22.005 -2.274
3.043 -30.882 22.787 -1.350 -35.758 22.081 -2.201
3.060 -30.440 22.852 -1.273 -35.317 22.157 -2.127
3.077 -29.998 22.917 -1.195 -34.876 22.232 -2.053
3.094 -29.556 22.983 -1.118 -34.435 22.308 -1.980
3.111 -29.114 23.045 -1.040 -33.994 22.381 -1.904
3.128 -28.672 23.105 -0.961 -33.553 22.451 -1.828
3.145 -28.230 23.164 -0.882 -33.112 22.521 -1.751
3.162 -27.788 23.224 -0.803 -32.671 22.592 -1.675
3.179 -27.346 23.284 -0.724 -32.230 22.662 -1.598
3.196 -26.904 23.344 -0.646 -31.789 22.733 -1.521
3.213 -26.462 23.399 -0.566 -31.348 22.799 -1.443
3.230 -26.020 23.454 -0.486 -30.907 22.863 -1.364
3.247 -25.578 23.508 -0.406 -30.466 22.928 -1.285
3.264 -25.136 23.562 -0.326 -30.025 22.993 -1.205
3.281 -24.694 23.616 -0.246 -29.584 23.058 -1.126
3.298 -24.252 23.671 -0.166 -29.143 23.123 -1.047
3.315 -23.810 23.720 -0.086 -28.703 23.183 -0.967
