# t mx my mz trailx traily trailz
0.182500 -62.550026 15.874913 4.505937 -67.179337 14.546339 5.849206
0.185000 -61.900032 16.056194 4.341429 -66.493225 14.737628 5.812461
0.187500 -61.250027 16.236109 4.156102 -65.806480 14.927664 5.745671
0.190000 -60.600033 16.414637 3.950785 -65.119896 15.116442 5.649463
0.192500 -59.950035 16.591534 3.723373 -64.434685 15.303729 5.520450
0.195000 -59.300030 16.767014 3.478184 -63.751060 15.489715 5.364136
0.197500 -58.650032 16.941063 3.216316 -63.069626 15.674389 5.181696
0.200000 -58.000031 17.113670 2.938939 -62.390854 15.857738 4.974447
0.202500 -57.350029 17.284575 2.645128 -61.715839 16.039524 4.740255
0.205000 -56.700031 17.454002 2.338729 -61.044334 16.219957 4.484456
0.207500 -56.050034 17.621946 2.021115 -60.376629 16.399025 4.208586
0.210000 -55.400032 17.788385 1.693705 -59.712944 16.576700 3.914203
0.212500 -54.750038 17.953053 1.356827 -59.054211 16.752735 3.600337
0.215000 -54.100037 18.116192 1.013550 -58.399830 16.927362 3.271529
0.217500 -53.450035 18.277784 0.665412 -57.749882 17.100554 2.929359
0.220000 -52.800034 18.437820 0.313971 -57.104401 17.272305 2.575381
0.222500 -52.150036 18.596022 -0.039224 -56.464142 17.442360 2.209672
0.225000 -51.500038 18.752636 -0.392119 -55.828281 17.610937 1.835622
0.227500 -50.850037 18.907652 -0.743133 -55.196709 17.778023 1.454677
0.230000 -50.200043 19.061054 -1.090696 -54.569290 17.943613 1.068240
0.232500 -49.550041 19.212563 -1.432160 -53.946457 18.107433 0.677390
0.235000 -48.900040 19.362431 -1.766649 -53.327244 18.269728 0.284171
0.237500 -48.250038 19.510649 -2.092664 -52.711296 18.430477 -0.110137
0.240000 -47.600040 19.657202 -2.408749 -52.098209 18.589676 -0.504316
0.242500 -46.950039 19.801800 -2.711364 -51.487984 18.747042 -0.896277
0.245000 -46.300041 19.944710 -3.000884 -50.879459 18.902826 -1.285247
0.247500 -45.650043 20.085920 -3.276013 -50.271965 19.057022 -1.670014
0.250000 -45.000042 20.225416 -3.535517 -49.664742 19.209602 -2.049343
0.252500 -44.350037 20.362902 -3.775254 -49.057270 19.360298 -2.419990
0.255000 -43.700039 20.498650 -3.996812 -48.448288 19.509357 -2.782143
0.257500 -43.050041 20.632648 -4.199204 -47.836872 19.656767 -3.134355
0.260000 -42.400040 20.764891 -4.381522 -47.222095 19.802526 -3.475081
0.262500 -41.750042 20.895063 -4.539340 -46.603161 19.946327 -3.799661
0.265000 -41.100040 21.023457 -4.675343 -45.979073 20.088448 -4.108942
0.267500 -40.450043 21.150057 -4.788926 -45.349125 20.228880 -4.401077
0.270000 -39.800041 21.274855 -4.879578 -44.712749 20.367609 -4.674148
0.272500 -39.150047 21.397533 -4.942945 -44.069576 20.504324 -4.922330
0.275000 -38.500046 21.518391 -4.982593 -43.419403 20.639313 -5.147302
0.277500 -37.850044 21.637411 -4.998346 -42.762302 20.772560 -5.347275
0.280000 -37.200043 21.754585 -4.990134 -42.098534 20.904053 -5.520598
0.282500 -36.550045 21.869596 -4.954019 -41.428635 21.033482 -5.661328
0.285000 -35.900047 21.982744 -4.894162 -40.753227 21.161152 -5.772594
0.287500 -35.250050 22.094015 -4.810836 -40.073078 21.287029 -5.853508
0.290000 -34.600044 22.203403 -4.704413 -39.389042 21.411102 -5.903477
0.292500 -33.950050 22.310585 -4.571682 -38.702332 21.533085 -5.917528
0.295000 -33.300049 22.415859 -4.417074 -38.013672 21.653233 -5.900365
0.297500 -32.650051 22.519222 -4.241286 -37.323978 21.771551 -5.852303
0.300000 -32.000053 22.620670 -4.045100 -36.634117 21.888050 -5.773889
0.302500 -31.350050 22.719864 -3.826295 -35.945374 22.002378 -5.661567
0.305000 -30.700050 22.817120 -3.589216 -35.258068 22.114843 -5.520864
0.307500 -30.050053 22.912432 -3.334924 -34.572849 22.225456 -5.352939
0.310000 -29.400055 23.005789 -3.064559 -33.890251 22.334183 -5.159094
0.312500 -28.750053 23.096857 -2.777055 -33.211433 22.440708 -4.937040
0.315000 -28.100056 23.185959 -2.476329 -32.536190 22.545343 -4.692256
0.317500 -27.450054 23.273079 -2.163730 -31.864822 22.648066 -4.426291
0.320000 -26.800056 23.358217 -1.840650 -31.197620 22.748882 -4.140684
0.322500 -26.150055 23.441031 -1.507280 -30.535530 22.847450 -3.834354
0.325000 -25.500057 23.521847 -1.166791 -29.877970 22.944086 -3.512015
0.327500 -24.850061 23.600655 -0.820704 -29.225040 23.038780 -3.175242
0.330000 -24.200060 23.677450 -0.470575 -28.576775 23.131527 -2.825644
